name,description,price
LEARN SCRATCH PROGRAMING,Scratch Course is the foundation of coding and is a building block of a coding journey. If you want,$30
LEARN CLOUD COMPUTING BASICS-AWS,"In this course we are going to cover the basics and the most important services on AWS,
At the end",$30
LEARN MOBILE DEVELOPMENT,Mobile application development is the process of creating software applications that run on a mobil,$30
LEARN CORE JAVA PROGRAMMING ONLINE,"Java is a very popular high-level, class-based, object-oriented programming language that is design",$30
LEARN ROBOTICS,You can open all kinds of doors for advancement in so many careers with a basic understanding of el,$30
LEARN JAVASCRIPT,JavaScript is the most popular programming language in the world. It powers the entire modern web.,$30
LEARN NODE JS,Node.js developers are in high demand and the language is used for everything from traditional web,$30
LEARN CLOUD COMPUTING ADVANCE-AWS,"DESCRIPTION
This introduction to cloud computing on Amazon AWS course takes you from the AWS Ad",$35
PYTHON PROGRAMMING-BEGINNER,"Python is a language with simple syntax, and a powerful set of libraries. It has a rich programming",$30
Roblox Programming For Beginners,"Explore the dynamic universe of game development with our ""Roblox Game Development Fundamentals"" cou",$30
PYTHON PROGRAMMING-INTERMEDIATE,"Take your python skills to the next level and start building real applications.
Python is a pro",$32
PYTHON PROGRAMMING-ADVANCE,"If you already know Python basics, then this training is the next step in your Python learning path",$35
PYTHON PROGRAMMING GROUP CLASSES - BEGINNER,"Python is a language with simple syntax, and a powerful set of libraries. It has a rich programming",$30
Advanced Roblox Scripting Workshop,"""Are you ready to unlock the full potential of your Roblox game development skills? Join our Interme",$35
Robotics Adventure Awaits:Join Our Summer Camp for Young Tech Wizards!,This course is designed to introduce beginners to the world of robotics. Learners will be taught the,$30
Java Project-Based Course,Java Project-Based Course for Intermediate Level Students ;Overview: This course is designed for int,$30
Artificial Intelligence Adventures: Building AI Chatbot Like Chatgpt (For Kids),Unlock the power of AI chatbots in our 10-day course! Gain comprehensive knowledge of chatbot develo,$30
Python Playground: Create a Hangman Game,Python Playground : Create a Hangman Game is an exciting and engaging course designed specifically f,$30
